Team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16
Vanderbilt,0.421562,0.328,0.455,0.3744,0.87,0.37,0.76,0.3444,0.2738,0.0585,0.335,0.3792,0.2738,0.4028,0.3735,0.051
Villanova,0.4845,0.95,0.9016,0.5917,0.96,0.99,0.6076,0.5162,0.7568,0.819,0.511,0.722,0.6324,0.6789,0.7055,0.79
Virginia,0.816,0.7227,0.54,0.97,0.99,0.67,0.2695,0.646,0.64,0.801,0.1404,0.5829,0.4288,0.217,0.6972,0.5612
Virginia Tech,0.90307,0.74,0.18,0.6984,0.95,0.96,0.351,0.1197,0.33,0.2343,0.0968,0.13,0.099,0.0611,0.4347,0.354
Wake Forest,0.649803,0.92,0.1848,0.6175,0.32,0.9,0.1675,0.135,0.34,0.3968,0.1804,0.5475,0.221,0.0722,0.79,0.152
Washington,0.475839,0.6006,0.1,0.0066,0.64,0.5192,0.69,0.0996,0.0299,0.12,0.015,0.0512,0.0176,0.0885,0.4,0.006
Washington St.,0,0.71,0.3591,0.0497,0.53,0.83,0.31,0.08,0.0209,0.091,0.0104,0.0364,0.0126,0.0648,0.6,0.004
West Virginia,0.9506,0.91,0.396,0.9801,0.98,0.9504,0.54,0.5829,0.5548,0.5551,0.6188,0.384,0.63,0.3344,0.6006,0.3344
Wisconsin,0.460647,0.7425,0.7395,0.5445,0.96,1,0.94,0.2124,0.88,0.3604,0.7553,0.5395,0.624,0.3237,0.374,0.6952
Xavier,0.643104,0.91,0.182,0.357,0.68,0.92,0.3577,0.84,0.0312,0.4484,0.1342,0.21,0.2944,0.1628,0.2255,0.5159
